etape,step_cost,step_time,euro_per_prise_marginal,h_per_prise_marginal,cost_cum,time_cum,prises_cum,note
222,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1286,
223,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1289,
224,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1292,
225,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1295,
226,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1298,
227,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1301,
228,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1304,
229,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1307,
230,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1310,
231,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1313,
232,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1316,
233,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1319,
234,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1322,
235,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1325,
236,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1328,
237,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1331,
238,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1334,
239,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1337,
240,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1340,
241,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1343,
242,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1346,
243,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1349,
244,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1352,
245,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1355,
246,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1358,
247,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1361,
248,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1364,
249,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1367,
250,20294.061070636693,94.86308667724003,3382.343511772782,15.810514446206673,334085.28630294645,1548.7171821386464,1373,
251,5640.68949834416,22.56275799337664,1410.17237458604,5.64068949834416,339725.9758012906,1571.279940132023,1377,
252,29629.469897401767,147.87819851470985,4232.7814139145385,21.125456930672836,369355.44569869235,1719.1581386467328,1384,
253,5619.42634442935,22.4777053777174,1123.8852688858701,4.49554107554348,374974.8720431217,1741.6358440244503,1389,
254,13420.373244887322,55.59281773692445,2684.074648977464,11.118563547384891,388395.24528800906,1797.2286617613747,1394,
255,41667.99377463896,216.40473527125644,5208.49922182987,27.050591908907055,430063.23906264803,2013.6333970326311,1402,
256,8465.104710900921,33.86041884360368,2116.2761777252304,8.46510471090092,438528.34377354896,2047.4938158762347,1406,
257,8056.301056853166,44.757228093628704,2014.0752642132916,11.189307023407176,446584.6448304021,2092.2510439698635,1410,
258,24451.7222064236,121.879570006331,4075.2870344039334,20.313261667721832,471036.3670368257,2214.1306139761946,1416,
259,3565.844468595045,14.26337787438018,1188.614822865015,4.754459291460059,474602.21150542074,2228.393991850575,1419,
260,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1421,
261,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1423,
262,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1425,
263,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1427,
264,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1429,
265,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1431,
266,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1433,
267,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1435,
268,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1437,
269,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1439,
270,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1441,
271,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1443,
272,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1445,
273,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1447,
274,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1449,
275,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1451,
276,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1453,
277,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1455,
278,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1457,
279,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1459,
280,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1461,
281,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1463,
282,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1465,
283,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1467,
284,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1469,
285,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1471,
286,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1473,
287,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1475,
288,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1477,
289,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1479,
290,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1481,
291,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1483,
292,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1485,
293,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1487,
294,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1489,
295,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1490,
296,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1491,
297,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1492,
298,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1493,
299,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1494,
300,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1495,
301,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1496,
302,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1497,
303,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1498,
304,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1499,
305,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1500,
306,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1501,
307,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1502,
308,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1503,
309,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1504,
310,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1505,
311,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1506,
312,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1507,
313,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1508,
314,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1509,
315,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1510,
316,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1511,
317,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1512,
318,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1513,
319,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1514,
320,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1515,
321,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1516,
322,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1517,
323,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1518,
324,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1519,
325,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1520,
326,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1521,
327,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1522,
328,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1523,
329,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1524,
330,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1525,
331,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1526,
332,0.0,0.0,0.0,0.0,474602.21150542074,2228.393991850575,1527,
333,10580.306905273364,42.321227621093456,2645.076726318341,10.580306905273364,485182.5184106941,2270.715219471668,1531,
334,2551.8563928878502,10.2074255715514,1275.9281964439251,5.1037127857757,487734.3748035819,2280.9226450432197,1533,
335,11380.54463315601,51.75462211075655,2845.1361582890027,12.938655527689138,499114.91943673795,2332.677267153976,1537,
336,11723.021386204478,60.59987882471439,2930.7553465511196,15.149969706178597,510837.9408229424,2393.2771459786904,1541,
337,18187.61964111698,90.68561810479261,3637.523928223396,18.137123620958523,529025.5604640594,2483.962764083483,1546,
338,8015.062747545303,39.2031539652372,2671.687582515101,13.067717988412399,537040.6232116047,2523.16591804872,1549,
339,28331.434193366385,126.44780068754892,4721.905698894398,21.07463344792482,565372.0574049711,2649.6137187362688,1555,
340,5379.8362692415,21.519345076966,2689.91813462075,10.759672538483,570751.8936742126,2671.133063813235,1557,
341,25375.1176814932,101.50047072597279,5075.0235362986405,20.300094145194556,596127.0113557058,2772.6335345392076,1562,
342,2583.62188073694,10.33448752294776,645.905470184235,2.58362188073694,598710.6332364427,2782.9680220621553,1566,
343,8361.11578877827,45.85557793460031,2787.0385962594232,15.28519264486677,607071.749025221,2828.8235999967555,1569,
344,24015.79392027678,125.82532076446986,4803.158784055357,25.165064152893972,631087.5429454978,2954.6489207612253,1574,
345,7420.66194286908,41.225899682606,2473.55398095636,13.741966560868667,638508.2048883669,2995.874820443831,1577,
